Id;Title;DescripIncidencia;FechaIncidencia;UbicacionId;Prioridad;NumSerieConsejeria;IncidenciaAsignadaAId;TipoIncidenciaId;Estado;FechaSolucion;DescripSolucion;Duracion;LlamadaServicioTecnico;FechaLlamadaServTecnico
3;Instalación 15 portátiles AULAPOR;Instalación de 15 portátiles LENOVO.;08/02/2025;59;1-Media;;9;4;Cerrado;08/02/2025;Instalación del Windows 10 Pro.<div>Preparación de usuarios alumnos.</div><div>Hacer un sysprep y pasarlo a los 15 portátiles</div><div>Meter los equipos al dominio.</div>;480;FALSO;
4;Conexión red equipo Aula Informática;Se ha sacada y vuelto a meter un equipo del aula de Administrativo en el dominio, modificando, además, las características del usuario (contraseña y accesibilidad).<br>;18/01/2024;13;2-Alta;;2;8;Cerrado;18/01/2024;;30;FALSO;
5;Olvido de contreseña;Dos usuarios se han olvidado la contraseña del dominio.;17/01/2023;59;1-Media;;1;2;Cerrado;03/03/2023;Crear una nueva contraseña para los dos usuarios y enviar un correo electrónico con el cambio;5;FALSO;
6;Equipo profesor - Tecnología;El equi,po del profesor de aula de Tecnología no enciende.<br>;16/01/2018;47;1-Media;;9;1;Cerrado;18/01/2018;Se ha vuelto a cargar la imagen del equipo, formateándolo y recargando los drivers necesarios. Han realizado las operaciones necesarias para restaurarlo a un estado de funcionalida óptimo.<br>;400;FALSO;
7;Instalación nuevos equipos AULA202;Instalación de 4 nuevos equipos y monitores en el AULA202.<div>Actualización de los existentes a windows 10 v1709</div>;11/01/2018;9;2-Alta;;9;4;Cerrado;11/01/2018;Instalación de 4 nuevos equipos, monitores, ratos y teclados en el AULA202.<div>Actualización de los existentes a windows 10 v1709</div><div>Se han puesto los equipos en el momento en el que se ha realizado la instalación eléctrica y de red.</div>;180;FALSO;
